vc_names,Uniprot,Family_name,Genes,GO,GO_num
VC1076,Q9KT29,HTH-TYPE TRANSCRIPTIONAL REGULATOR GADX,6,DNA-binding transcription factor activity;transcription regulatory region DNA binding,GO:0003700;GO:0044212
VC1077,Q9KT28,,,,
VC1078,Q9KT27,,,,
VC1079,Q9KT26,SI:CH211-153B23.4,72,nucleotidyltransferase activity;tRNA binding,GO:0016779;GO:0000049
VC1080,Q9KT25,,,,
VC1081,Q9KT24,SUBFAMILY NOT NAMED,2,"",""
VC1082,Q9KT23,,,,
VC1083,Q9KT22,,,,
VC1084,Q9KT21,,,,
VC1085,Q9KT20,,,,
VC1086,Q9KT19,SUBFAMILY NOT NAMED,3,"",""
VC1087,Q9KT18,,,,
VC1088,Q9KT17,,,,
VC1089,Q9KT16,SUBFAMILY NOT NAMED,6,"",""
VC1090,Q9KT15,,,,
VC1091,Q9KT14,PERIPLASMIC OLIGOPEPTIDE-BINDING PROTEIN-RELATED,57,peptide transmembrane transporter activity,GO:1904680
VC1092,Q9KT13,OLIGOPEPTIDE TRANSPORT SYSTEM PERMEASE PROTEIN OPPB,15,"",""
VC1093,Q9KT12,OLIGOPEPTIDE TRANSPORT SYSTEM PERMEASE PROTEIN OPPC,16,"",""
VC1094,Q9KT11,"D,D-DIPEPTIDE TRANSPORT ATP-BINDING PROTEIN DDPD-RELATED",6,"ATPase activity, coupled to transmembrane movement of substances",GO:0042626
VC1095,Q9KT10,,,,
VC1096,Q9KT09,GLUTATHIONE S-TRANSFERASE OMEGA-LIKE 1-RELATED,111,glutathione transferase activity,GO:0004364
VC1097,Q9KT08,PHOSPHATE ACETYLTRANSFERASE,30,acetyltransferase activity;lyase activity;oxidoreductase activity,GO:0016407;GO:0016829;GO:0016491
VC1098,Q9KT07,,,,
VC1099,Q9KT06,,,,
VC1100,Q9KT05,,,,
VC1101,Q9KT04,,,,
VC1102,Q9KT03,SUBFAMILY NOT NAMED,7,"",""
VC1103,Q9KT02,SUBFAMILY NOT NAMED,15,"",""
VC1104,Q9KT01,,,,
VC1105,Q9KT00,TRNA-DIHYDROURIDINE(16) SYNTHASE,9,"",""
VC1106,Q9KSZ9,SUBFAMILY NOT NAMED,3,"",""
VC1107,P57069,OUTER-MEMBRANE LIPOPROTEIN CARRIER PROTEIN,19,"",""
VC1108,Q9KSZ8,ATPASE WRNIP1,105,DNA-dependent ATPase activity;enzyme activator activity,GO:0008094;GO:0008047
VC1109,Q9KSZ7,,,,
VC1110,Q9KSZ6,SERINE--TRNA LIGASE,38,"",""
VC1111,Q9KSZ5,ADENOSYLMETHIONINE-8-AMINO-7-OXONONANOATE AMINOTRANSFERASE,86,"",""
VC1112,Q9KSZ4,"BIOTIN SYNTHASE, MITOCHONDRIAL",88,transferase activity,GO:0016740
VC1113,Q9KSZ3,8-AMINO-7-OXONONANOATE SYNTHASE,20,transferase activity,GO:0016740
VC1114,Q9KSZ2,"ARGININE-HYDROXYLASE NDUFAF5, MITOCHONDRIAL",101,"",""
VC1115,Q9KSZ1,DETHIOBIOTIN SYNTHETASE,15,ligase activity,GO:0016874
VC1116,Q9KSZ0,,,,
VC1117,Q9KSY9,PROTEASE HTPX,31,metallopeptidase activity,GO:0008237
VC1118,Q9KSY8,,,,
VC1119,Q9KSY7,,,,
VC1120,Q9KSY6,SUBFAMILY NOT NAMED,29,"",""
VC1121,Q9KSY5,SUBFAMILY NOT NAMED,50,"",""
VC1122,Q9KSY4,SUBFAMILY NOT NAMED,14,methyltransferase activity,GO:0008168
VC1123,Q9KSY3,,,,
VC1124,Q9KSY2,,,,
VC1125,Q9KSY1,,,,
VC1126,Q9KSY0,ADENYLOSUCCINATE LYASE,77,"",""
VC1127,Q9KSX9,HIGH FREQUENCY LYSOGENIZATION PROTEIN HFLD,8,"",""
VC1128,Q9KSX8,MITOCHONDRIAL TRNA-SPECIFIC 2-THIOURIDYLASE 1,90,"",""
VC1129,Q9KSX7,,,,
VC1130,Q9KSX6,DNA-BINDING PROTEIN STPA,6,DNA-binding transcription factor activity;transcription regulatory region sequence-specific DNA binding,GO:0003700;GO:0000976
VC1131,Q9KSX5,SUBFAMILY NOT NAMED,11,"",""
VC1132,Q9KSX4,ATP PHOSPHORIBOSYLTRANSFERASE,28,"transferase activity, transferring pentosyl groups",GO:0016763
VC1133,Q9F854,HISTIDINE BIOSYNTHESIS TRIFUNCTIONAL PROTEIN,106,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",GO:0016616
VC1134,Q9KSX2,HISTIDINOL-PHOSPHATE AMINOTRANSFERASE,88,"",""
VC1135,Q9KSX1,IMIDAZOLEGLYCEROL-PHOSPHATE DEHYDRATASE,96,hydro-lyase activity,GO:0016836
VC1136,Q9KSX0,IMIDAZOLE GLYCEROL PHOSPHATE SYNTHASE SUBUNIT HISH,43,"transferase activity, transferring pentosyl groups",GO:0016763
VC1137,Q9KSW9,1-(5-PHOSPHORIBOSYL)-5-[(5-PHOSPHORIBOSYLAMINO)METHYLIDENEAMINO] IMIDAZOLE-4-CARBOXAMIDE ISOMERASE,96,catalytic activity,GO:0003824
VC1138,Q9KSW8,IMIDAZOLE GLYCEROL PHOSPHATE SYNTHASE HISHF,97,"transferase activity, transferring pentosyl groups",GO:0016763
VC1139,Q9KSW7,HISTIDINE BIOSYNTHESIS BIFUNCTIONAL PROTEIN HISIE,12,hydrolase activity;oxidoreductase activity,GO:0016787;GO:0016491
VC1140,Q9F855,RIBOSOMAL LARGE SUBUNIT PSEUDOURIDINE SYNTHASE E,25,"",""
VC1141,Q9KSW5,SUBFAMILY NOT NAMED,12,"",""
VC1142,Q9KSW4,COLD SHOCK-LIKE PROTEIN CSPD,18,"",""
VC1143,Q9KSW3,ATP-DEPENDENT CLP PROTEASE ADAPTER PROTEIN CLPS,18,chaperone binding,GO:0051087
VC1144,Q9KSW2,ATP-DEPENDENT CLP PROTEASE ATP-BINDING SUBUNIT CLPA,14,"",""
VC1145,Q9KSW1,TRANSPORT PROTEIN YBJL-RELATED,4,"",""
VC1146,Q9KSW0,,,,
VC1147,Q9KSV9,,,,
VC1148,Q9KSV8,,,,
VC1149,Q9KSV7,SUBFAMILY NOT NAMED,4,"",""
VC1150,Q9KSV6,,,,
VC1151,Q9KSV5,LYSINE EXPORTER LYSO,14,L-lysine transmembrane transporter activity;efflux transmembrane transporter activity,GO:0015189;GO:0015562
VC1152,Q9KSV4,SUBFAMILY NOT NAMED,25,"",""
VC1153,Q9KSV3,,,,
VC1154,Q9KSV2,,,,
VC1155,Q9KSV1,SUBFAMILY NOT NAMED,4,"",""
VC1156,Q9KSV0,SUBFAMILY NOT NAMED,7,"",""
VC1157,Q9KSU9,,,,
VC1158,Q9KSU8,,,,
VC1159,Q9KSU7,PHOSPHOSERINE AMINOTRANSFERASE,122,"",""
VC1160,Q9KSU6,BETA-CITRYLGLUTAMATE SYNTHASE B,31,"",""
VC1161,Q9KSU5,,,,
VC1162,Q9KSU4,,,,
VC1163,Q9KSU3,SUBFAMILY NOT NAMED,5,methyltransferase activity,GO:0008168
VC1164,Q9KSU2,CARBOXY-S-ADENOSYL-L-METHIONINE SYNTHASE,15,methyltransferase activity,GO:0008168
VC1165,Q9KSU1,UPF0759 PROTEIN YECE,11,"",""
VC1166,Q9KSU0,"ASPARTATE--TRNA LIGASE, MITOCHONDRIAL",141,RNA binding;ligase activity,GO:0003723;GO:0016874
VC1167,Q9KST9,"THYMIDINE KINASE, CYTOSOLIC",108,kinase activity,GO:0016301
VC1168,Q9KST8,SUBFAMILY NOT NAMED,2,"",""
VC1169,Q9KST7,"TRYPTOPHAN SYNTHASE ALPHA CHAIN, CHLOROPLASTIC",80,hydro-lyase activity,GO:0016836
VC1170,Q9KST6,TRYPTOPHAN SYNTHASE,105,hydro-lyase activity,GO:0016836
VC1171,Q9KST5,"INDOLE-3-GLYCEROL PHOSPHATE SYNTHASE, CHLOROPLASTIC",89,lyase activity,GO:0016829
VC1172,Q9KST4,ANTHRANILATE PHOSPHORIBOSYLTRANSFERASE,94,"",""
VC1173,Q9KST3,BIFUNCTIONAL PROTEIN TRPGD,7,"lyase activity;transferase activity, transferring pentosyl groups",GO:0016829;GO:0016763
VC1174,Q9KST2,ANTHRANILATE SYNTHASE COMPONENT 1,8,"",""
VC1175,Q9KST1,,,,
VC1176,Q9KST0,,,,
VC1177,Q9KSS9,EXPRESSED PROTEIN,78,"5'-3' exonuclease activity;deoxyribonuclease activity;exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters;ribonuclease activity",GO:0008409;GO:0004536;GO:0016796;GO:0004540
VC1178,Q9KSS8,DHBP SYNTHASE RIBB-LIKE ALPHA/BETA DOMAIN-CONTAINING PROTEIN,52,"",""
VC1179,Q9KSS7,RIBOSOMAL LARGE SUBUNIT PSEUDOURIDINE SYNTHASE B,33,"",""
VC1180,Q9KSS6,ATP-BINDING/PERMEASE PROTEIN CYDC,6,"ATPase activity, coupled to transmembrane movement of substances",GO:0042626
VC1181,Q9KSS5,ATP-BINDING/PERMEASE PROTEIN CYDD,6,"",""
VC1182,Q9KSS4,THIOREDOXIN REDUCTASE 1-RELATED,134,oxidoreductase activity,GO:0016491
VC1183,Q9KSS3,,,,
VC1184,Q9KSS2,SUBFAMILY NOT NAMED,9,lyase activity,GO:0016829
VC1185,Q9KSS1,,,,
VC1186,Q9KSS0,PROTEIN SANA,6,"",""
VC1187,Q9KSR9,,,,
VC1188,Q9KSR8,MALIC ENZYME,102,"oxidoreductase activity, acting on CH-OH group of donors",GO:0016614
VC1189,Q9KSR7,,,,
VC1190,Q9KSR6,PHOSPHORIBOSYLAMINOIMIDAZOLE-SUCCINOCARBOXAMIDE SYNTHASE,69,ligase activity,GO:0016874
VC1191,Q9KSR5,,,,
VC1192,Q9KSR4,,,,
VC1193,Q9KSR3,,,,
VC1194,Q9KSR2,SEL1L ERAD E3 LIGASE ADAPTOR SUBUNIT,83,"",""
VC1195,Q9KSR1,,,,
VC1196,Q9KSR0,,,,
VC1197,Q9KSQ9,,,,
VC1198,Q9KSQ8,SUBFAMILY NOT NAMED,14,"",""
VC1199,Q9KSQ7,SUBFAMILY NOT NAMED,13,methyltransferase activity,GO:0008168
VC1200,Q9KSQ6,,,,
VC1201,Q9KSQ5,,,,
VC1202,Q9KSQ4,HISTIDINE AMMONIA-LYASE,65,"",""
VC1203,Q9KSQ3,SUBFAMILY NOT NAMED,14,"",""
VC1204,Q9KSQ2,SUBFAMILY NOT NAMED,10,hydrolase activity,GO:0016787
VC1205,Q9KSQ1,IMIDAZOLONEPROPIONASE-RELATED,53,hydrolase activity,GO:0016787
VC1206,Q9KSQ0,SUBFAMILY NOT NAMED,7,"",""
VC1207,Q9KSP9,,,,
VC1208,Q9KSP8,,,,
VC1209,Q9KSP7,ELONGATION FACTOR P-LIKE PROTEIN,7,RNA binding,GO:0003723
VC1210,Q9KSP6,,,,
VC1211,Q9KSP5,,,,
VC1212,Q9KSP4,DNA POLYMERASE DELTA CATALYTIC SUBUNIT,147,"",""
VC1213,Q9KSP3,RESPONSE REGULATOR UVRY,11,methyltransferase activity;protein kinase activity,GO:0008168;GO:0004672
VC1214,Q9KSP2,UVRABC SYSTEM PROTEIN C,47,"",""
VC1215,Q9KSP1,"CDP-DIACYLGLYCEROL--GLYCEROL-3-PHOSPHATE 3-PHOSPHATIDYLTRANSFERASE 1, CHLOROPLASTIC",89,"",""
VC1216,Q9KSP0,,,,
VC1217,Q9KSN9,N-ACETYLTRANSFERASE 14,61,"",""
VC1218,Q9KSN8,,,,
VC1219,Q9KSN7,PHENYLALANINE--TRNA LIGASE ALPHA SUBUNIT,157,"catalytic activity, acting on RNA;ligase activity",GO:0140098;GO:0016874
VC1220,Q9KSN6,PHENYLALANINE--TRNA LIGASE BETA SUBUNIT,170,"catalytic activity, acting on RNA;ligase activity",GO:0140098;GO:0016874
VC1221,Q9KSN5,,,,
VC1222,Q9KSN4,INTEGRATION HOST FACTOR SUBUNIT ALPHA,18,DNA binding,GO:0003677
VC1223,Q9KSN3,,,,
VC1224,Q9KSN2,,,,
VC1225,Q9KSN1,,,,
VC1226,Q9KSN0,SUBFAMILY NOT NAMED,4,S-adenosylmethionine-dependent methyltransferase activity,GO:0008757
VC1227,Q9KSM9,,,,
VC1228,Q9KSM8,FORMATE-DEPENDENT PHOSPHORIBOSYLGLYCINAMIDE FORMYLTRANSFERASE,19,"",""
VC1229,Q9KSM7,SUBFAMILY NOT NAMED,30,"",""
VC1230,Q9KSM6,,,,
VC1231,Q9KSM5,CYTIDINE DEAMINASE 1-RELATED,77,"",""
VC1232,Q9KSM4,"PLASTIDAL GLYCOLATE/GLYCERATE TRANSLOCATOR 1, CHLOROPLASTIC",70,"",""
VC1233,Q9KSM3,UPF0299 MEMBRANE PROTEIN YOHJ,11,"",""
VC1234,Q9KSM2,EXODEOXYRIBONUCLEASE I,8,3'-5'-exoribonuclease activity,GO:0000175
VC1235,Q9KSM1,L-CYSTINE TRANSPORTER YDJN,10,L-amino acid transmembrane transporter activity;cation transmembrane transporter activity;neutral amino acid transmembrane transporter activity,GO:0015179;GO:0008324;GO:0015175
VC1236,Q9KSM0,,,,
VC1237,Q9KSL9,NICOTINATE-NUCLEOTIDE--DIMETHYLBENZIMIDAZOLE PHOSPHORIBOSYLTRANSFERASE,21,nucleotidyltransferase activity,GO:0016779
VC1238,Q9KSL8,ADENOSYLCOBINAMIDE-GDP RIBAZOLETRANSFERASE,27,"transferase activity, transferring phosphorus-containing groups",GO:0016772
VC1239,Q9KSL7,BIFUNCTIONAL ADENOSYLCOBALAMIN BIOSYNTHESIS PROTEIN COBU,20,"",""
VC1240,Q9KSL6,SUBFAMILY NOT NAMED,13,"",""
VC1241,Q9KSL5,,,,
VC1242,Q9KSL4,SUCCINYLGLUTAMATE DESUCCINYLASE,15,"",""
VC1243,Q9KSL3,,,,
VC1244,Q9KSL2,VITAMIN B12 IMPORT SYSTEM PERMEASE PROTEIN BTUC,4,transporter activity,GO:0005215
VC1245,Q9KSL1,VITAMIN B12 IMPORT ATP-BINDING PROTEIN BTUD,18,"",""
VC1246,Q9KSL0,,,,
VC1247,Q9KSK9,,,,
VC1248,Q9KSK8,,,,
VC1249,Q9KSK7,SUBFAMILY NOT NAMED,6,"",""
VC1250,Q9KSK6,,,,
VC1251,Q9KSK5,,,,
VC1252,Q9KSK4,NMN AMIDOHYDROLASE-LIKE PROTEIN YFAY,4,"",""
VC1253,Q9KSK3,,,,
VC1254,Q9KSK2,,,,
VC1255,Q9KSK1,RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE 1 SUBUNIT BETA,7,"",""
VC1256,Q9KSK0,RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE LARGE SUBUNIT,151,oxidoreductase activity,GO:0016491
VC1257,Q9KSJ9,"UBIQUINONE BIOSYNTHESIS O-METHYLTRANSFERASE, MITOCHONDRIAL",108,methyltransferase activity,GO:0008168
VC1258,Q9KSJ8,DNA GYRASE SUBUNIT A,40,"ATP binding;DNA binding;DNA-dependent ATPase activity;catalytic activity, acting on DNA",GO:0005524;GO:0003677;GO:0008094;GO:0140097
VC1259,Q9KSJ7,SUBFAMILY NOT NAMED,11,"",""
VC1260,Q9KSJ6,SUBFAMILY NOT NAMED,3,catalytic activity,GO:0003824
VC1261,Q9KSJ5,SUGAR EFFLUX TRANSPORTER A-RELATED,7,"",""
VC1262,Q9KSJ4,,,,
VC1263,Q9KSJ3,SUBFAMILY NOT NAMED,2,lyase activity,GO:0016829
VC1264,Q9KSJ2,,,,
VC1265,Q9KSJ1,SUBFAMILY NOT NAMED,6,oxidoreductase activity,GO:0016491
VC1266,Q9KSJ0,,,,
VC1267,Q9KSI9,,,,
VC1268,Q9KSI8,SUBFAMILY NOT NAMED,5,"",""
VC1269,Q9KSI7,SUBFAMILY NOT NAMED,9,"",""
VC1270,Q9KSI6,HYDROXYACYLGLUTATHIONE HYDROLASE GLOC,45,"",""
VC1271,Q9KSI5,,,,
VC1272,Q9KSI4,,,,
VC1273,Q9KSI3,,,,
VC1274,Q9KSI2,SUBFAMILY NOT NAMED,3,"",""
VC1275,Q9KSI1,SUBFAMILY NOT NAMED,4,"",""
VC1276,Q9KSI0,SUBFAMILY NOT NAMED,4,protein kinase activity,GO:0004672
VC1277,Q9KSH9,SUBFAMILY NOT NAMED,63,methyltransferase activity;protein kinase activity,GO:0008168;GO:0004672
VC1278,Q9KSH8,SUBFAMILY NOT NAMED,3,transcription regulatory region DNA binding,GO:0044212
VC1279,Q9KSH7,HIGH-AFFINITY CHOLINE TRANSPORT PROTEIN,20,"",""
VC1280,Q9KSH6,SUBFAMILY NOT NAMED,3,"",""
VC1281,Q9KSH5,"PTS SYSTEM N,N'-DIACETYLCHITOBIOSE-SPECIFIC EIIB COMPONENT",23,"",""
VC1282,Q9KSH4,,,,
VC1283,Q9KSH3,"PTS SYSTEM N,N'-DIACETYLCHITOBIOSE-SPECIFIC EIIA COMPONENT",12,"",""
VC1284,Q9KSH2,6-PHOSPHO-BETA-GLUCOSIDASE,13,"",""
VC1285,Q9KSH1,CARBOHYDRATE DEACETYLASE,33,"",""
VC1286,Q9KSH0,SUBFAMILY NOT NAMED,2,DNA binding;DNA-binding transcription factor activity,GO:0003677;GO:0003700
VC1287,Q9KSG9,SUBFAMILY NOT NAMED,4,"transferase activity, transferring hexosyl groups",GO:0016758
VC1288,Q9KSG8,GLUCANS BIOSYNTHESIS PROTEIN G,8,"",""
VC1289,Q9KSG7,,,,
VC1290,Q9KSG6,SUBFAMILY NOT NAMED,3,3'-5' exonuclease activity,GO:0008408
VC1291,Q9KSG5,,,,
VC1292,Q9KSG4,,,,
VC1293,Q9KSG3,,,,
VC1294,Q9KSG2,,,,
VC1295,Q9KSG1,,,,
VC1296,Q9KSG0,HYDROXYMETHYLPYRIMIDINE/PHOSPHOMETHYLPYRIMIDINE KINASE THI20-RELATED,96,"kinase activity;phosphotransferase activity, alcohol group as acceptor;phosphotransferase activity, phosphate group as acceptor",GO:0016301;GO:0016773;GO:0016776
VC1297,Q9KSF9,"ASPARAGINE--TRNA LIGASE, MITOCHONDRIAL-RELATED",140,RNA binding;ligase activity,GO:0003723;GO:0016874
VC1298,Q9KSF8,,,,
VC1299,Q9KSF7,6-PYRUVOYL TETRAHYDROBIOPTERIN SYNTHASE,78,"",""
VC1300,Q9KSF6,,,,
VC1301,Q9KSF5,,,,
VC1302,Q9KSF4,PEROXISOMAL COENZYME A DIPHOSPHATASE NUDT7,117,hydrolase activity,GO:0016787
VC1303,Q9KSF3,AMINODEOXYCHORISMATE SYNTHASE,82,"",""
VC1304,Q9KSF2,SUBFAMILY NOT NAMED,17,hydro-lyase activity,GO:0016836
VC1305,Q9KSF1,,,,
VC1306,Q9KSF0,SUBFAMILY NOT NAMED,7,"",""
VC1308,Q9KSE9,TRANSCRIPTIONAL REGULATORY PROTEIN TYRR,8,"",""
VC1309,Q9KSE8,RIBOSOMAL-PROTEIN-ALANINE ACETYLTRANSFERASE,16,peptide alpha-N-acetyltransferase activity,GO:0004596
VC1310,Q9KSE7,,,,
VC1311,Q9KSE6,,,,
VC1312,Q9KSE5,"ALANINE RACEMASE, CATABOLIC",36,catalytic activity,GO:0003824
VC1313,Q9KSE4,,,,
VC1314,Q9KSE3,,,,
VC1315,Q9KSE2,,,,
VC1316,Q9KSE1,TWO-COMPONENT RESPONSE REGULATOR-LIKE APRR1,68,methyltransferase activity;protein kinase activity,GO:0008168;GO:0004672
VC1317,Q9KSE0,SUBFAMILY NOT NAMED,8,"",""
VC1318,P06111,MLTA-INTERACTING PROTEIN-RELATED,9,"protein binding, bridging",GO:0030674
VC1319,Q9KSD9,,,,
VC1320,Q9KSD8,TRANSCRIPTIONAL REGULATORY PROTEIN RSTA,7,DNA-binding transcription factor activity;molecular transducer activity;transcription regulatory region sequence-specific DNA binding,GO:0003700;GO:0060089;GO:0000976
VC1321,Q9KSD7,SUBFAMILY NOT NAMED,3,"amide binding;carboxylic acid binding;drug binding;heterocyclic compound binding;organic cyclic compound binding;transferase activity, transferring hexosyl groups",GO:0033218;GO:0031406;GO:0008144;GO:1901363;GO:0097159;GO:0016758
VC1322,Q9KSD6,SUBFAMILY NOT NAMED,3,"",""
VC1323,Q9KSD5,,,,
VC1324,Q9KSD4,,,,
VC1325,Q9KSD3,D-GALACTOSE-BINDING PERIPLASMIC PROTEIN,6,"",""
VC1326,Q9KSD2,,,,
VC1327,Q9KSD1,GALACTOSE/METHYL GALACTOSIDE IMPORT ATP-BINDING PROTEIN MGLA,6,"ATPase activity, coupled to transmembrane movement of substances",GO:0042626
VC1328,Q9KSD0,GALACTOSIDE TRANSPORT SYSTEM PERMEASE PROTEIN MGLC,6,"",""
VC1329,Q9KSC9,,,,
VC1330,Q9KSC8,,,,
VC1331,Q9KSC7,,,,
VC1332,Q9KSC6,SUBFAMILY NOT NAMED,12,"",""
VC1333,Q9KSC5,,,,
VC1334,Q9KSC4,SUBFAMILY NOT NAMED,9,DNA binding,GO:0003677
VC1335,Q9KSC3,SUBFAMILY NOT NAMED,16,transferase activity,GO:0016740
VC1336,Q9KSC2,"CARBOXYVINYL-CARBOXYPHOSPHONATE PHOSPHORYLMUTASE, CHLOROPLASTIC",35,"",""
VC1337,Q9KSC1,CITRATE SYNTHASE-RELATED PROTEIN DDB_G0287281,12,"",""
VC1338,Q9KSC0,SUBFAMILY NOT NAMED,5,cofactor binding;hydro-lyase activity,GO:0048037;GO:0016836
VC1339,Q9KSB9,SUBFAMILY NOT NAMED,14,DNA binding,GO:0003677
VC1340,Q9KSB8,"ACYL-COA SYNTHETASE SHORT-CHAIN FAMILY MEMBER 3, MITOCHONDRIAL",65,ligase activity;oxidoreductase activity,GO:0016874;GO:0016491
VC1341,Q9KSB7,AMINOALKYLPHOSPHONATE N-ACETYLTRANSFERASE,40,N-acetyltransferase activity,GO:0008080
VC1342,Q9KSB6,,,,
VC1343,Q9KSB5,SUBFAMILY NOT NAMED,7,"",""
VC1344,H9L4S8,4-HYDROXYPHENYLPYRUVATE DIOXYGENASE,93,dioxygenase activity,GO:0051213
VC1345,Q9KSB4,"HOMOGENTISATE 1,2-DIOXYGENASE",100,dioxygenase activity,GO:0051213
VC1346,Q9KSB3,SUBFAMILY NOT NAMED,9,hydrolase activity,GO:0016787
VC1347,Q9KSB2,,,,
VC1348,Q9KSB1,,,,
VC1349,Q9KSB0,HYBRID SIGNAL TRANSDUCTION HISTIDINE KINASE E,72,"",""
VC1350,Q9KSA9,"PEROXIREDOXIN-5, MITOCHONDRIAL",97,oxidoreductase activity,GO:0016491
VC1351,Q9KSA8,,,,
VC1352,Q9KSA7,,,,
VC1353,Q9KSA6,,,,
VC1354,Q9KSA5,S-ADENOSYL-L-METHIONINE-DEPENDENT METHYLTRANSFERASES SUPERFAMILY PROTEIN,62,RNA methyltransferase activity;nucleic acid binding,GO:0008173;GO:0003676
VC1355,Q9KSA4,ACYLPHOSPHATASE-2,52,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",GO:0016818
VC1356,Q9KSA3,SULFURTRANSFERASE TUSE,10,"",""
VC1357,Q9KSA2,,,,
VC1358,Q9KSA1,PROTEIN LIFEGUARD 4,130,"",""
VC1359,Q9KSA0,,,,
VC1360,Q9KS99,INNER MEMBRANE AMINO-ACID ABC TRANSPORTER PERMEASE PROTEIN YHDY,8,"",""
VC1361,Q9KS98,AMINO-ACID ABC TRANSPORTER PERMEASE PROTEIN YHDX-RELATED,11,"",""
VC1362,Q9KS97,AMINO-ACID ABC TRANSPORTER-BINDING PROTEIN YHDW-RELATED,9,"",""
VC1363,Q9KS96,SIROHEME BIOSYNTHESIS PROTEIN MET8,33,"",""
VC1364,Q9KS95,SUGAR PHOSPHATASE YIDA,56,magnesium ion binding;phosphatase activity,GO:0000287;GO:0016791
VC1365,Q9KS94,7-CARBOXY-7-DEAZAGUANINE SYNTHASE,34,"",""
VC1366,Q9KS93,7-CYANO-7-DEAZAGUANINE SYNTHASE,34,"",""
VC1367,Q9KS92,SUBFAMILY NOT NAMED,117,"",""
VC1368,Q9KS91,,,,
VC1369,Q9KS90,TAURINE-BINDING PERIPLASMIC PROTEIN,14,"",""
VC1370,Q9KS89,,,,
VC1371,Q9KS88,,,,
VC1372,Q9KS87,,,,
VC1373,Q9KS86,,,,
VC1374,Q9KS85,,,,
VC1375,Q9KS84,,,,
VC1376,Q9KS83,,,,
VC1377,Q9KS82,ERI1 EXORIBONUCLEASE 3,86,"",""
VC1378,Q9KS81,,,,
VC1379,Q9KS80,,,,
VC1380,Q9KS79,,,,
VC1381,Q9KS78,,,,
VC1382,Q9KS77,ATP-DEPENDENT RNA HELICASE DHX33,113,"ATP-dependent helicase activity;catalytic activity, acting on RNA",GO:0008026;GO:0140098
VC1383,Q9KS76,,,,
VC1384,Q9KS75,,,,
VC1385,Q9KS74,,,,
VC1386,Q9KS73,SUBFAMILY NOT NAMED,5,"ATP binding;ATPase activity, coupled;heat shock protein binding;unfolded protein binding",GO:0005524;GO:0042623;GO:0031072;GO:0051082
VC1387,Q9KS72,,,,
VC1388,Q9KS71,"LIPOYLTRANSFERASE 1, MITOCHONDRIAL",69,"",""
VC1389,Q9KS70,SUBFAMILY NOT NAMED,8,"",""
VC1390,Q9KS69,,,,
VC1391,Q9KS68,,,,
VC1392,Q9KS67,SUBFAMILY NOT NAMED,3,lyase activity;nucleic acid binding,GO:0016829;GO:0003676
VC1393,Q9KS66,QUATERNARY AMMONIUM COMPOUND-RESISTANCE PROTEIN SUGE,22,transmembrane transporter activity,GO:0022857
VC1394,Q9KS65,,,,
VC1396,Q9KS64,,,,
VC1397,Q9KS63,,,,
VC1398,Q9KS62,SUBFAMILY NOT NAMED,30,"",""
VC1399,Q9KS61,SUBFAMILY NOT NAMED,6,methyltransferase activity;protein kinase activity,GO:0008168;GO:0004672
VC1400,Q9KS60,,,,
VC1401,Q9KS59,,,,
VC1402,Q9KS58,,,,
VC1403,Q9KS57,,,,
VC1404,Q9KS56,,,,
VC1405,Q9KS55,,,,
VC1406,Q9KS54,,,,
VC1407,Q9KS53,SUBFAMILY NOT NAMED,2,"",""
VC1408,Q9KS52,HTH-TYPE TRANSCRIPTIONAL REGULATOR RUTR,6,transcription regulatory region sequence-specific DNA binding,GO:0000976
VC1409,Q9KS51,MULTIDRUG RESISTANCE OUTER MEMBRANE PROTEIN MDTP-RELATED,11,transmembrane transporter activity,GO:0022857
VC1410,Q9KS50,MULTIDRUG EXPORT PROTEIN EMRA-RELATED,14,transmembrane transporter activity,GO:0022857
VC1411,Q9KS49,MULTIDRUG EXPORT PROTEIN EMRB-RELATED,14,"",""
VC1412,Q9KS48,,,,
VC1413,Q9KS47,,,,
VC1414,Q9KS46,SUBFAMILY NOT NAMED,24,"",""
VC1415,H9L4Q3,SUBFAMILY NOT NAMED,13,"",""
VC1416,Q9KS45,,,,
VC1417,Q9KS44,,,,
VC1418,Q9KS43,,,,
VC1419,Q9KS42,,,,
VC1420,Q9KS41,,,,
VC1421,Q9KS40,SUBFAMILY NOT NAMED,7,"",""
VC1422,Q9KS39,SUBFAMILY NOT NAMED,19,"",""
VC1423,Q9KS38,,,,
VC1424,Q9KS37,,,,
VC1425,Q9KS36,,,,
VC1426,Q9KS35,SPERMIDINE/PUTRESCINE TRANSPORT SYSTEM PERMEASE PROTEIN POTC,20,"ATPase activity, coupled to transmembrane movement of substances",GO:0042626
VC1427,Q9KS34,INNER MEMBRANE ABC TRANSPORTER PERMEASE PROTEIN YDCU-RELATED,28,"",""
